account,name,gang,link
@inquiline@mastodon.social,Christina Dunbar-Hester,H,https://mastodon.social/@inquiline
@RainerMuehlhoff@chaos.social,Rainer Mühlhoff,HPS,https://chaos.social/@RainerMuehlhoff
@Maurocapocci@scholar.social,Mauro Capocci,H,https://scholar.social/@MauroCapocci
@russokrauss@zirk.us,Chiara Russo Krauss,P,https://zirk.us/@russokrauss
@Pwl@mastodon.social,Peter Linehan,HPS,https://mastodon.social/@Pwl
@mike@fediphilosophy.org,Mike Schneider,HPS,https://fediphilosophy.org/@mike
@justcodeculture@mastodon.social,Jeffrey Yost,HPS,https://mastodon.social/@JustCodeCulture
@LukasMengelkamp@sciences.social,Lukas Mengelkamp,H,https://sciences.social/@LukasMengelkamp
@EvanPence@mastodon.online,Evan Pence,HPS,https://mastodon.online/@EvanPence
@dbarack@fediscience.org,David L Barack,P,https://fediscience.org/@dbarack
@vwang93@mstdn.science,Victoria Wang,HPS,https://mstdn.science/@vwang93
@katieplaisance@scholar.social,Katie Plaisance,P,https://scholar.social/@katieplaisance
@ebernardes@hcommons.social,Everton Bernardes,HPS,https://hcommons.social/@ebernardes
@RobertJanW@mastodon.social,Robert-Jan Wille ,H,Https://mastodon.social/@RobertJanW
@_JAStockdale@qoto.org,Jessica Stockdale,HPS,https://qoto.org/@_JAStockdale
@AdamLinson@mstdn.jp,Adam Linson,HPS,https://mstdn.jp/@AdamLinson
@histscitech@fediscience.org,Laboratory for the history of science and technology @EPFL,H,https://fediscience.org/@histscitech
@b_m_hughes@mastodon.ie,Brian Hughes,HPS,https://mastodon.ie/@b_m_hughes
@schottemargaret@mas.to,Margaret Schotte,H,https://mas.to/@schottemargaret
@marshall_0i@mastodon.social,Marshall Abrams,P,https://mastodon.social/@marshall_0i
@danhicks@mastodon.social,Dan Hicks,P,https://mastodon.social/@danhicks
@bennett@sciences.social,Bennett McIntosh,H,https://sciences.social/@bennett
@kjeld@hachyderm.io,Kjeld Schmidt,HPS,https://hachyderm.io/@kjeld
@NODE801@mastodon.social,B. Ricardo Brown,H,https://mastodon.social/@NODE801
@PeterGleick@fediscience.org,Peter Gleick,H,htpps://fediscience.org/@petergleick
@askesis@ursal.zone,Marcio LM,HPS,https://ursal.zone/@askesis
